"";"name";"block";"anthroTreat";"empathTreat";"treatAnthroEmpath";"treatAnthroInter";"treatEmpathInter";"anthro";"empathy";"AnthroEmpath";"interEmpath";"interAnthro";"servFailure";"InitialTechTrustExpect";"PostIncTechTrustExpect";"PostIncTechTrustPerfor";"PostIncTechTrustDiconf";"PostIncTechTrustSatisf";"PostIncTechTrustIntent";"playfulness";"innovativeness";"robotSE";"ageNum";"trustingstance";"genderNum";"eduNum";"IntentOfUsageContinuat";"reUse"
"35";"PI_TrDisc_Func_1";"PostIncTechTrustDiconf";0,032;0,009;0,021;-0,152;-0,186;0,231;0,26;0,276;-0,031;-0,025;-0,246;0,199;0,406;0,566;0,825;0,4;0,408;0,069;0,045;0,132;0,031;0,067;0,078;-0,094;0,415;0,193
"36";"PI_TrDisc_Func_2";"PostIncTechTrustDiconf";-0,025;0,026;-0,009;-0,175;-0,14;0,211;0,263;0,255;-0,024;-0,014;-0,215;0,168;0,399;0,563;0,864;0,412;0,364;0,071;0,011;0,173;-0,043;0,06;0,112;-0,108;0,338;0,157
"37";"PI_TrDisc_Func_3";"PostIncTechTrustDiconf";0,064;0,107;0,12;-0,079;-0,079;0,24;0,268;0,277;0,016;0,033;-0,193;0,185;0,401;0,544;0,872;0,378;0,397;0,046;0,044;0,183;-0,001;0,109;0,071;-0,135;0,33;0,146
"38";"PI_TrDisc_Helpful_1";"PostIncTechTrustDiconf";0,074;0,057;0,079;-0,062;-0,074;0,28;0,279;0,316;0,017;0,069;-0,174;0,205;0,406;0,597;0,871;0,36;0,334;-0,04;-0,109;0,16;0,003;0,095;0,145;-0,101;0,27;0,133
"39";"PI_TrDisc_Helpful_2";"PostIncTechTrustDiconf";0,033;-0,043;0,014;-0,053;-0,114;0,269;0,161;0,27;-0,011;0,105;-0,12;0,148;0,418;0,541;0,772;0,308;0,279;-0,08;-0,063;0,101;-0,08;0,056;0,075;-0,131;0,217;0,035
"40";"PI_TrDisc_Helpful_3";"PostIncTechTrustDiconf";0,019;0,052;0,044;-0,166;-0,135;0,228;0,372;0,344;0,03;0,001;-0,228;0,241;0,464;0,548;0,745;0,424;0,326;-0,07;-0,129;0,129;-0,042;0,178;0,172;-0,113;0,249;0,046
"41";"PI_Tech_Satisfact1";"PostIncTechTrustSatisf";0,09;0,029;0,09;-0,188;-0,244;0,275;0,257;0,303;-0,073;-0,039;-0,287;0,314;0,415;0,472;0,434;0,845;0,419;0,087;0,074;0,202;0,142;0,056;-0,057;-0,021;0,399;0,257
"42";"PI_Tech_Satisfact2";"PostIncTechTrustSatisf";0,069;-0,017;0,035;-0,19;-0,273;0,238;0,222;0,244;-0,102;-0,044;-0,296;0,319;0,396;0,42;0,362;0,877;0,43;0,152;0,184;0,225;0,123;0,078;-0,172;-0,116;0,269;0,338
"43";"PI_Tech_Satisfact3";"PostIncTechTrustSatisf";0,023;0,106;0,107;-0,065;-0,042;0,225;0,297;0,304;0,046;0,05;-0,101;0,34;0,307;0,352;0,305;0,78;0,353;0,136;0,104;0,283;0,053;0,132;-0,031;-0,096;0,285;0,245
"44";"PI_Tech_Satisfact4";"PostIncTechTrustSatisf";0,023;0,011;0,029;-0,124;-0,153;0,23;0,172;0,229;-0,036;0,038;-0,179;0,248;0,373;0,431;0,413;0,802;0,414;0,048;0,033;0,161;0,112;0,085;-0,051;-0,09;0,282;0,257
